channel,message,default label,default score,camembert label,camembert score
#accueil,LM et toi,NEGATIVE,0.7139,NEUTRAL,0.5461
#accueil,Mince ma joiee,POSITIVE,0.9669,NEGATIVE,0.921
#accueil,FaeL:  exactement mon sac a dos  est bien rempi   ;),NEGATIVE,0.9131,POSITIVE,0.7437
#accueil,oups tel,NEGATIVE,0.9054,NEGATIVE,0.9304
#accueil,Bonsoir,POSITIVE,0.9956,POSITIVE,0.7414
#accueil,Bonsoir tous le monde,POSITIVE,0.9926,POSITIVE,0.7547
#accueil,  coucher brutus,NEGATIVE,0.9361,NEUTRAL,0.5365
#accueil,Jamais chutttt moi Kipsi mdrrrrrrrrrrr,NEGATIVE,0.9911,NEUTRAL,0.6578
#accueil,coucou Kipsi ^^,NEUTRAL,0.5603,POSITIVE,0.8431
#accueil,Brutus?,NEGATIVE,0.9861,NEUTRAL,0.5176
#accueil,https://youtu.be/rltuo4S5cs0,NEGATIVE,0.9854,POSITIVE,0.6733
#accueil,YouTube Cantic War Sujet An Anaon par Tri Yann - Topic (durée: 3:36) - Vue(s): 1425,NEGATIVE,0.9919,NEUTRAL,0.6553
#accueil,elle va jamais y arriver,POSITIVE,0.9896,NEGATIVE,0.9637
#accueil,Titeseve ? Et bé....bonsoir bisousssss,NEGATIVE,0.9869,POSITIVE,0.7626
#accueil,je comprends pas désolé je suis courtois sympa ici pareil en pv même si des vois je délire mais toujours dans limite et avec respect,NEUTRAL,0.5288,POSITIVE,0.6922
#accueil,kiss sur ta fesse droite Kipsi,POSITIVE,0.6959,POSITIVE,0.8436
#accueil,Je conprend pas pk ta des moqueries,NEUTRAL,0.5948,NEGATIVE,0.6667
#accueil,  coucou la choups1 et mon choupinet d'amour HamsterJovial,NEGATIVE,0.7989,POSITIVE,0.9021
#accueil,j'adooooooore an_tourter et les images sont magnifiikeeeeeee,NEGATIVE,0.9115,POSITIVE,0.9941
#accueil,je re je vais me café un café qui en veut,POSITIVE,0.746,NEGATIVE,0.7966
#accueil,HamsterJovial >> c et un coup de batte que Kipsi aime lol,NEGATIVE,0.9696,POSITIVE,0.75
#accueil,hannibal-smith76|venere:  te prend pas la tete ............j'etais comme toi avant,NEUTRAL,0.6139,NEUTRAL,0.5065
#accueil,Avec les gens sympa,NEUTRAL,0.5062,POSITIVE,0.8617
#accueil,  quelqu'un a une musolière pour Nanie|sendort svp ?,NEGATIVE,0.99,NEGATIVE,0.8387
#accueil,!cafe,POSITIVE,0.9948,NEUTRAL,0.5687
#accueil,Génial ! Michel59 part en cuisine pour préparer du _C_] _a_] _f_] _é_],NEUTRAL,0.6038,POSITIVE,0.8067
#accueil,!dodo accueil,POSITIVE,0.7427,NEUTRAL,0.6603
#accueil,channel aimerait bien se faire border par accueil car c'est l'heure d'aller au dodo ^^ ! Bonne nuit <3 ,NEGATIVE,0.9323,NEUTRAL,0.659
#accueil,"leur donne pas l'importance qu'il ne doivent surtout pas avoir, hannibal-smith76|venere , et marre toi avec les bons, tu leurs fera jamais plus mal qu'avec ça xD",NEGATIVE,0.881,POSITIVE,0.6772
#accueil,mais hooo la pfff jte tire la langue toi et moi la bah je suis au tel avec ma rachel ^^ Kipsi,NEGATIVE,0.9891,POSITIVE,0.6767
#accueil,hannibal-smith76|venere:  part pas les mains vident prend mon mug XD,NEGATIVE,0.7392,NEUTRAL,0.5197
#accueil,Pour toi Kipsi la museliere oui mdrrrrrrrrrrr,NEGATIVE,0.9885,NEUTRAL,0.5663
#accueil,Chipie,POSITIVE,0.9774,NEUTRAL,0.6519
#accueil,Fais un bisou de ma part a rachel stp choups1,NEGATIVE,0.9415,POSITIVE,0.7776
#accueil,!tapavu chipie,POSITIVE,0.9152,NEGATIVE,0.8917
#accueil,"chipie (Chaat@3D7BE8A1.ABD7BD7F.2FE039B1.IP) a été vu la dernière fois partir de #Accueil il y a 1 heure, 48 minutes ("""").",NEGATIVE,0.9887,NEGATIVE,0.743
#accueil,an tourter je connaissais pas et j'adore,POSITIVE,0.9951,POSITIVE,0.9971
#accueil,haaaaan hannibal-smith76|venere,NEGATIVE,0.8147,POSITIVE,0.6934
#accueil,Prend un curly Lea1384,NEGATIVE,0.9917,NEUTRAL,0.5437
#accueil,Desesperance Un tit cancer dans la réel life plutôt :),NEGATIVE,0.9718,NEGATIVE,0.8544
#accueil,Bonjour à tous,POSITIVE,0.987,NEUTRAL,0.5143
#accueil,tu regardes le foot hannibal-smith76|venere,NEGATIVE,0.7824,NEUTRAL,0.5317
#accueil,Un curly lol,NEGATIVE,0.9887,POSITIVE,0.7816
#accueil,pour de vrai !mdr,POSITIVE,0.9705,POSITIVE,0.831
#accueil,oui je regarde,NEGATIVE,0.7627,NEUTRAL,0.5328
#accueil,pas sur que ca face le meme effet un curly Desesperance,NEGATIVE,0.9622,NEGATIVE,0.7346
#accueil,Il va fondre,POSITIVE,0.9177,NEUTRAL,0.5886
#accueil,killbill:  ça sent le gage,NEGATIVE,0.9847,NEGATIVE,0.8426
#accueil,1 - 1 !!,POSITIVE,0.9873,NEGATIVE,0.7987
#accueil,"TiteSeve: Ah merde ,autant pour moi ,je suis désolé . J'espère que ca va quand meme mieux",NEGATIVE,0.9635,NEGATIVE,0.9862
#accueil,bonsoir a tous,POSITIVE,0.9626,POSITIVE,0.7506
#accueil,quel gage ? hannibal-smith76|venere,NEGATIVE,0.9507,NEUTRAL,0.5961
#accueil,le tien,NEUTRAL,0.5869,NEUTRAL,0.6541
#accueil,pipoune: Dans ce cas la elle en prend plusieurs..........,NEUTRAL,0.5289,NEGATIVE,0.7652
#accueil,bisouss killbill,NEGATIVE,0.9685,POSITIVE,0.739
#accueil,Bonsoir Ludo,POSITIVE,0.9661,POSITIVE,0.7667
#accueil,Goooolazo,NEGATIVE,0.9803,POSITIVE,0.947
#accueil, Bisoussss  pipoune,NEGATIVE,0.9684,POSITIVE,0.8331
#accueil,bas si l'italie perd,POSITIVE,0.9278,NEUTRAL,0.5873
#accueil,Desesperance:  meme plusieurs ...,NEGATIVE,0.7071,NEGATIVE,0.7012
#accueil,"Pas de soucis Desesperance, et le ""mieux"", je le saurai en septembre :)",NEGATIVE,0.9698,NEUTRAL,0.5386
#accueil,ah non non hannibal-smith76|venere il n'a jamais été question de gage pour moi naméo !,NEGATIVE,0.9731,NEGATIVE,0.8481
#accueil,pipoune: (rire)...,NEGATIVE,0.9825,NEGATIVE,0.8096
#accueil,merci de le dire ya du suspens hannibal-smith76|venere,NEGATIVE,0.9871,POSITIVE,0.7734
#accueil,j ai dit que l italie allait gagner l euro,NEUTRAL,0.6515,NEUTRAL,0.586
#accueil,ah si ùais tkt un super sympa gage,NEGATIVE,0.9685,POSITIVE,0.7104
#accueil,BONSOIR,POSITIVE,0.9956,POSITIVE,0.8102
#accueil,bah voyons mdrrr,NEGATIVE,0.9443,NEUTRAL,0.6429
#accueil," ?? [ INFO Chaat.fr ] ?? : ? STOP aux bagarres ? ? Tout comportement négatif ou violent pourra être sanctionné par un Kick voir un Ban. Pour chaque minute où vous êtes en colère, vous perdez 60 secondes de bonheur. Ce TChat n'est pas un défouloir. Merci :)",NEGATIVE,0.9898,NEUTRAL,0.5046
#accueil,TiteSeve: Reste positive .Tout arrive a qui sait attendre. Je croise les doigts,POSITIVE,0.9829,POSITIVE,0.8501
#accueil,c est toi qui as qui ferait le gage que je veux si l italie gagne,NEGATIVE,0.8197,NEUTRAL,0.5358
#accueil,on n'a pas parlé de gage pour moi,POSITIVE,0.8607,NEGATIVE,0.9699
#accueil,Bonsoir,POSITIVE,0.9956,POSITIVE,0.7414
#accueil,l'italie souffre,POSITIVE,0.9682,NEGATIVE,0.7061
#accueil,je te promets que ton gage sera super cool et oui c'est meme un gage juste un petit truc lol,NEUTRAL,0.6615,POSITIVE,0.8008
#accueil,Quels comediens ces italochs,NEGATIVE,0.6955,NEGATIVE,0.7112
#accueil,"J'ai la banane Desesperance, depuis le début!",NEGATIVE,0.987,POSITIVE,0.7293
#accueil,on verra alors hannibal-smith76|venere,NEUTRAL,0.5788,NEUTRAL,0.5208
#accueil,merci,NEUTRAL,0.5491,POSITIVE,0.7543
#accueil,Jai une banane moi titeseve,NEGATIVE,0.9638,POSITIVE,0.7897
#accueil,killbill:   ca va,NEGATIVE,0.9849,NEGATIVE,0.7086
#accueil,"TiteSeve: Parfait alors ,reste comme ca et ne change rien :",NEGATIVE,0.9767,POSITIVE,0.7351
#accueil,GCDS Trop mure sûrement...,NEGATIVE,0.9903,NEGATIVE,0.9611
#accueil,oui Sunny_Flottet et toi ?,NEGATIVE,0.9586,NEUTRAL,0.5293
#accueil,Trop dur .. titeseve,NEGATIVE,0.9987,NEGATIVE,0.8919
#accueil,Bonsoir je cherche une femme pour discuter,POSITIVE,0.9549,NEUTRAL,0.6548
#accueil,....,POSITIVE,0.9478,NEGATIVE,0.7519
#accueil,Une grosse banane trop dure.. titeseve,NEGATIVE,0.9974,NEGATIVE,0.8756
#accueil,yesssssssssssssss,NEGATIVE,0.9795,POSITIVE,0.7474
#accueil,TiteSeve >> préfère les concombres,NEGATIVE,0.9561,NEGATIVE,0.9085
#accueil,Sympa,POSITIVE,0.9641,POSITIVE,0.7966
#accueil,!calin,POSITIVE,0.9972,POSITIVE,0.7776
#accueil,Il semblerait que Enissay s'enlace (elle-lui)-même ! ???,NEGATIVE,0.9631,NEUTRAL,0.6246
#accueil,GCDS Une banane pas mûre donc?,NEGATIVE,0.9774,NEGATIVE,0.9302
#accueil,Killbill t une visionnaire,NEGATIVE,0.9901,POSITIVE,0.8188
#accueil,GCDS: Elle a compris ta blague pas marrante je crois..,NEGATIVE,0.8317,NEGATIVE,0.9554
#accueil,"Terre-Hermess, courgette ça ira",NEGATIVE,0.9652,NEGATIVE,0.7827
#accueil,bonsoir Malicia_,NEGATIVE,0.9815,POSITIVE,0.8135
#accueil,bonne soiree,POSITIVE,0.9507,POSITIVE,0.797
#accueil,bonne soirée pipoune,NEGATIVE,0.9321,NEUTRAL,0.5484
#accueil,Sa resemble + a une concombre enfet .. titeseve,NEGATIVE,0.9481,NEGATIVE,0.9369
#accueil,de meme pipoune,NEUTRAL,0.5088,NEGATIVE,0.9065
#accueil,Non pipoune !,NEGATIVE,0.8042,NEGATIVE,0.8437
#accueil,TiteSeve >> on va tout savoir !,POSITIVE,0.8759,NEUTRAL,0.6074
#accueil,!calin pipoune,NEGATIVE,0.7105,NEUTRAL,0.5773
#accueil, new-man prend pipoune dans ses bras et lui fait un énorme calin ???,NEGATIVE,0.9768,POSITIVE,0.725
#accueil,Pipoune tu va dodo,NEGATIVE,0.9452,NEGATIVE,0.8378
#accueil,Moi aussi,POSITIVE,0.9369,POSITIVE,0.6919
#accueil,Personne ta sonné desesperence,NEGATIVE,0.9789,NEGATIVE,0.9432
#accueil,tu peux faire tous les legumes c'est pas le tien qu'elle veut,NEUTRAL,0.5015,NEGATIVE,0.682
#accueil,"C'est vrai ,désolé GCDS",NEGATIVE,0.9836,NEGATIVE,0.908
#accueil,Bonsoir,POSITIVE,0.9956,POSITIVE,0.7414
#accueil,non quoi Desesperance ?,NEGATIVE,0.9853,NEGATIVE,0.9263
#accueil,"GCDS Oublie-moi, j'ai les yeux qui saignent!",POSITIVE,0.9825,NEGATIVE,0.8518
#accueil,Ennour:  ca ne va pas aujourd'hui désolée,NEGATIVE,0.9569,NEGATIVE,0.957
#accueil,loll ma TiteLilyRose,NEGATIVE,0.971,POSITIVE,0.7226
#accueil,bonne soiree a tous et a toutes,POSITIVE,0.97,POSITIVE,0.8817
#accueil,Reste pipoune,NEGATIVE,0.9728,NEGATIVE,0.9823
#accueil,TiteSeve,NEUTRAL,0.6005,NEUTRAL,0.5416
#accueil,:p ma killbill,NEGATIVE,0.9594,NEUTRAL,0.6323
#accueil,salut,NEGATIVE,0.9924,POSITIVE,0.7455
#accueil,allez bonne soirée le monde,NEGATIVE,0.765,NEUTRAL,0.632
#accueil,Pipoune courage ça va  allez je le souhaite,POSITIVE,0.9945,POSITIVE,0.731
