,sequence,label
1,Mince ma joiee,positive
2,FaeL:  exactement mon sac a dos  est bien rempi   ;),positive
4,Bonsoir,positive
5,Bonsoir tous le monde,positive
8,coucou Kipsi ^^,positive
13,Titeseve ? Et bé....bonsoir bisousssss,positive
14,je comprends pas désolé je suis courtois sympa ici pareil en pv même si des vois je délire mais toujours dans limite et avec respect,positive
15,kiss sur ta fesse droite Kipsi,positive
17,  coucou la choups1 et mon choupinet d'amour HamsterJovial,positive
18,j'adooooooore an_tourter et les images sont magnifiikeeeeeee,positive
19,je re je vais me café un café qui en veut,positive
22,Avec les gens sympa,positive
25,Génial ! Michel59 part en cuisine pour préparer du _C_] _a_] _f_] _é_],positive
28,"leur donne pas l'importance qu'il ne doivent surtout pas avoir, hannibal-smith76|venere , et marre toi avec les bons, tu leurs fera jamais plus mal qu'avec ça xD",positive
32,Chipie,positive
33,Fais un bisou de ma part a rachel stp choups1,positive
34,!tapavu chipie,positive
36,an tourter je connaissais pas et j'adore,positive
37,haaaaan hannibal-smith76|venere,positive
40,Bonjour à tous,positive
43,pour de vrai !mdr,positive
44,oui je regarde,positive
49,"TiteSeve: Ah merde ,autant pour moi ,je suis désolé . J'espère que ca va quand meme mieux",positive
50,bonsoir a tous,positive
54,bisouss killbill,positive
55,Bonsoir Ludo,positive
57, Bisoussss  pipoune,positive
62,pipoune: (rire)...,positive
63,merci de le dire ya du suspens hannibal-smith76|venere,positive
65,ah si ùais tkt un super sympa gage,positive
66,BONSOIR,positive
69,TiteSeve: Reste positive .Tout arrive a qui sait attendre. Je croise les doigts,positive
72,Bonsoir,positive
74,je te promets que ton gage sera super cool et oui c'est meme un gage juste un petit truc lol,positive
76,"J'ai la banane Desesperance, depuis le début!",positive
78,merci,positive
79,Jai une banane moi titeseve,positive
80,killbill:   ca va,positive
81,"TiteSeve: Parfait alors ,reste comme ca et ne change rien :",positive
88,yesssssssssssssss,positive
89,TiteSeve >> préfère les concombres,positive
91,!calin,positive
92,Il semblerait que Enissay s'enlace (elle-lui)-même ! ❤❤❤,positive
94,Killbill t une visionnaire,positive
95,GCDS: Elle a compris ta blague pas marrante je crois..,positive
97,bonsoir Malicia_,positive
98,bonne soiree,positive
99,bonne soirée pipoune,positive
101,de meme pipoune,positive
104,!calin pipoune,positive
105, new-man prend pipoune dans ses bras et lui fait un énorme calin ❤❤❤,positive
107,Moi aussi,positive
111,Bonsoir,positive
115,loll ma TiteLilyRose,positive
116,bonne soiree a tous et a toutes,positive
117,Reste pipoune,positive
119,:p ma killbill,positive
120,salut,positive
121,allez bonne soirée le monde,positive
122,Pipoune courage ça va  allez je le souhaite,positive
123,bonne soirée pipoune,positive
125,vous inquiétez pas les filles ça ira mieux dmeain,positive
127,bonne idée bidou,positive
131,bonne nuit Ennour,positive
133, Bisoussss  new-man,positive
135,fais de beaux reves pipoune,positive
136,!kiss killbill,positive
137,new-man fait un énorme Kiiiiisss à killbill,positive
138,oui killbill je pense,positive
140,Salut à tous et à toutes,positive
141,salut,positive
142,Bonjour,positive
143, Bonsoir  Tvh,positive
149,(rire),positive
152,oki merci,positive
158,hier j'ai fait du criquet avec mes amicalités distingués nous somme allés faire ce que j'appelle un boulot au cul de mon meilleur amicailtage,positive
160,bonsoir :),positive
162,"Rire Terre-Hermess, ça va encore",positive
163,ca va ?,positive
165,Mdr loane,positive
167,oui xlormilena,positive
168,Bécots ma TiteSeve préférée,positive
170,LoL TiteSeve,positive
171,Bonjour comment allez vous très chers amitiés distinguées de la toile ?,positive
172,Bisousssssssssssssssssss mon préféré bourriquet Massss <3,positive
173,Bonsoir,positive
174,!kiss killbill,positive
175,Babycrew fait un énorme Kiiiiisss à killbill,positive
176,:p ma killbill,positive
180,Mes 3 canapés se portent bieng Terre-Hermess!,positive
187,Viens en pv,positive
191,oui Babycrew,positive
194,Chapeau,positive
195,comment va tu,positive
197,J espere que l Espagne va gagner,positive
200,moi aussi,positive
201,Salut delinekira,positive
202,Moi aussi,positive
203,viva espana,positive
205,hello,positive
207,Heller jasmine,positive
209, Bonsoir  jasmine,positive
210,Hello,positive
211,mdrr,positive
212,Rire ma killbill!,positive
217,Mais si....,positive
221,bonsoir Aux arrivants!,positive
223,mdrr,positive
226,Merci au DJ did29 d'avoir fait cette animation Radio ! ♫♪♩,positive
227,maisje vous dis que les italiens vont gagner l euro,positive
230,mdrr,positive
231,mdrrr Babycrew,positive
232,"Hannibal-smith76|venere, le 76 c'est pour la Seine-Maritime? et bonsoir :)",positive
233,Heyy tout le monde !,positive
236,tizi je garde espoir !,positive
243,Arffff le e désolé,positive
244,mdrrr,positive
246,bien le bonsoir,positive
254,Fighting spirit,positive
255,J'ai un grand salon Terre-Hermess! :o,positive
256,Hello,positive
257,cool TiteSeve,positive
261,bonsoir Bilbon,positive
264,bonsoir Bilbon (le hoquet?),positive
266,bonsoir chuchoteur :),positive
267,Je vous laisse passer une bonne soirée puis une bonne nuit,positive
268,de meme Brune,positive
269,Bilbon meilleur pseudo du jour,positive
271,bonne soirée Brune,positive
272,Merci chuchoteur killbill,positive
274,Je te dois d'être sur le sommet ma killbill?,positive
275,TiteSeve:  je t'ai répondu en pv,positive
276,Danemark je vous le dis c est a eux le trophée lol,positive
277,bonne nuit brune,positive
278,oui ma TiteSeve,positive
279,Hello,positive
280, Bonsoir  Linda,positive
282,Merci à toi aussi Hannibal-smith76 venere,positive
284,Little_Doolx3 salut,positive
289,Duotrio salut,positive
291,bonsoir Linda,positive
292,Linda hello cv,positive
293,bonsoir Duotrio,positive
294,stage les italiens vont marquer avant la demi heure t inquiète,positive
295,Salut Linda,positive
296,mdrrr,positive
299,Tout le monde va bien?,positive
300,allez les italiens,positive
302,bonsoir,positive
304,Linda  slt,positive
311,mdrr stage,positive
312,oui linda et toi,positive
313,Hahaha killbill,positive
316,bah je l'ai vu hier,positive
320,donc là j'y revais,positive
326,mdrrr,positive
328,mdrrr,positive
331,LoL Massss,positive
333,Merkiiiiiiiiiiiii ma killbill <3,positive
335,ils ont  chaud les italiens,positive
